男歌手,#geren#
要不要买菜,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/yaobuyaomaicai.m3u8
卦者灵风,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/guazhelingfeng.m3u8
海鸣威,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/haimingwei.m3u8
三叔说,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/sanshushuo.m3u8
corsak胡梦周,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/corsakhumengzhou.m3u8
胡歌,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/huge.m3u8
笑天,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xiaotian.m3u8
李圣杰,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lishengjie.m3u8
王峰,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangfeng.m3u8
王雨笙,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangyusheng.m3u8
誓言,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/shiyan.m3u8
罗文,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/luowen.m3u8
云飞,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/yunfei.m3u8
宋亚轩,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/songyaxuan.m3u8
吕方,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lvfang.m3u8
朱小朱,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhuxiaozhu.m3u8
ice paper,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/ice paper.m3u8
谢军,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/xiejun.m3u8
江山,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/jiangshan.m3u8
游鸿明,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/youhongming.m3u8
皮卡丘多多,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/pikaqiuduoduo.m3u8
王源,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangyuan.m3u8
张智霖,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangzhilin.m3u8
大笨,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/daben.m3u8
兰雨,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lanyu.m3u8
贺一航,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/heyihang.m3u8
巫启贤,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wuqixian.m3u8
高进,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/gaojin.m3u8
老狼,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/laolang.m3u8
伯爵johnny,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/bojuejohnny.m3u8
苏永康,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/suyongkang.m3u8
颜人中,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/yanrenzhong.m3u8
井胧,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/jinglong.m3u8
陈冠蒲,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/chenguanpu.m3u8
不只中二,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/buzhizhonger.m3u8
柯柯柯啊,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/kekekea.m3u8
孙楠,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/sunnan.m3u8
队长,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/duizhang.m3u8
大壮,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/dazhuang.m3u8
zyboy忠宇,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zyboyzhongyu.m3u8
盛哲,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/shengzhe.m3u8
王小帅,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangxiaoshuai.m3u8
伍佰,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wubai.m3u8
黄品源,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/huangpinyuan.m3u8
pro,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/pro.m3u8
柳爽,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/liushuang.m3u8
张家旺,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangjiawang.m3u8
1k,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/1k.m3u8
鹿晗,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/luhan.m3u8
南瓜,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/nangua.m3u8
张震岳,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangzhenyue.m3u8
毛宁,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/maoning.m3u8
易欣,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/yixin.m3u8
林宥嘉,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/linyoujia.m3u8
大张伟,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/dazhangwei.m3u8
dj 北风,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/dj beifeng.m3u8
泽亦龙,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zeyilong.m3u8
